,imagenet_class,original_score,perturbated_score
297,"sloth bear, Melursus ursinus, Ursus ursinus",3.745088e-05,1.7220529e-07
298,mongoose,4.0644036e-06,1.9391662e-07
299,"meerkat, mierkat",8.97633e-06,1.2432045e-07
300,tiger beetle,7.8266396e-07,1.073609e-07
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1.2633418e-06,3.8772768e-07
302,"ground beetle, carabid beetle",1.3665154e-06,1.9436506e-07
303,"long-horned beetle, longicorn, longicorn beetle",1.8345106e-06,2.2571353e-07
304,"leaf beetle, chrysomelid",4.863292e-07,2.2695725e-07
305,dung beetle,2.99019e-07,9.268461e-08
306,rhinoceros beetle,2.0493765e-06,1.1985577e-07
307,weevil,1.0555253e-06,4.5494747e-07
308,fly,2.9787626e-07,8.9625146e-08
309,bee,5.0404367e-07,2.4524595e-06
310,"ant, emmet, pismire",6.471842e-06,1.6603084e-06
311,"grasshopper, hopper",9.073383e-07,1.10485836e-07
312,cricket,2.2721142e-06,1.6536139e-07
313,"walking stick, walkingstick, stick insect",3.0072802e-05,1.3100806e-06
314,"cockroach, roach",3.364968e-06,1.5144567e-06
315,"mantis, mantid",3.773401e-06,6.7854145e-08
316,"cicada, cicala",7.074861e-07,3.1232275e-08
317,leafhopper,2.7871025e-07,5.1530847e-08
318,"lacewing, lacewing fly",7.574851e-07,4.4304667e-08
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",2.2904815e-07,8.6888665e-09
320,damselfly,7.589859e-08,3.4050047e-09
321,admiral,2.2686291e-07,5.2659274e-08
322,"ringlet, ringlet butterfly",1.3485234e-07,9.2208346e-08
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",3.1269215e-07,3.8109395e-08
324,cabbage butterfly,1.928639e-07,3.8458506e-08
325,"sulphur butterfly, sulfur butterfly",5.864147e-07,1.3755063e-07
326,"lycaenid, lycaenid butterfly",3.9464337e-07,2.1440903e-07
327,"starfish, sea star",3.166064e-06,2.320565e-06
328,sea urchin,9.1592705e-07,3.5322338e-07
329,"sea cucumber, holothurian",4.921133e-06,5.350035e-07
330,"wood rabbit, cottontail, cottontail rabbit",3.0673439e-06,5.7976987e-08
331,hare,7.428337e-06,2.2883658e-07
332,"Angora, Angora rabbit",6.9246516e-06,4.7432778e-07
333,hamster,9.1799694e-07,3.6182473e-07
334,"porcupine, hedgehog",8.113213e-06,5.613264e-08
335,"fox squirrel, eastern fox squirrel, Sciurus niger",2.1835604e-06,1.02369576e-07
336,marmot,3.1304364e-07,3.36118e-08
337,beaver,9.197807e-06,1.4652247e-07
338,"guinea pig, Cavia cobaya",5.0146014e-06,9.505714e-07
339,sorrel,1.1914425e-06,2.8969216e-08
340,zebra,2.8713475e-06,2.2847317e-08
341,"hog, pig, grunter, squealer, Sus scrofa",1.1677401e-05,9.740531e-07
342,"wild boar, boar, Sus scrofa",5.9521412e-06,1.1707206e-07
343,warthog,2.2745975e-07,3.3522536e-09
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",2.7789727e-07,6.1830496e-09
345,ox,2.1503884e-06,1.6365385e-07
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",2.8941258e-07,8.784098e-09
347,bison,8.8716206e-07,4.8560043e-08
348,"ram, tup",3.697487e-07,3.864115e-08
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",3.2844443e-07,2.6366006e-08
350,"ibex, Capra ibex",1.1663617e-06,1.6753598e-08
351,hartebeest,2.3233054e-07,5.517168e-09
352,"impala, Aepyceros melampus",3.9730904e-07,2.8606824e-08
353,gazelle,8.921037e-06,1.6364245e-07
354,"Arabian camel, dromedary, Camelus dromedarius",2.0997313e-06,3.1457304e-08
355,llama,1.8793673e-06,5.526518e-08
356,weasel,1.1719763e-05,1.0894171e-07
357,mink,4.119709e-06,9.3141296e-08
358,"polecat, fitch, foulmart, foumart, Mustela putorius",1.1127597e-05,1.307697e-07
359,"black-footed ferret, ferret, Mustela nigripes",3.2739854e-06,5.6455512e-08
360,otter,3.4492994e-06,1.3071086e-07
361,"skunk, polecat, wood pussy",2.6857753e-05,3.2189615e-07
362,badger,2.3298442e-05,3.768738e-07
363,armadillo,3.326828e-06,5.0619985e-07
364,"three-toed sloth, ai, Bradypus tridactylus",2.819906e-06,1.0203793e-08
365,"orangutan, orang, orangutang, Pongo pygmaeus",9.895484e-06,7.8529047e-07
366,"gorilla, Gorilla gorilla",7.272214e-06,1.3114213e-07
367,"chimpanzee, chimp, Pan troglodytes",3.3145832e-05,4.7918815e-07
368,"gibbon, Hylobates lar",7.548973e-06,1.5136112e-07
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",1.0203041e-05,1.506141e-07
370,"guenon, guenon monkey",3.904072e-06,1.2505843e-07
371,"patas, hussar monkey, Erythrocebus patas",5.2776622e-06,4.036056e-08
372,baboon,4.415682e-06,6.8267475e-08
