,imagenet_class,original_score,perturbated_score
357,mink,1.7068398e-05,2.1611959e-06
358,"polecat, fitch, foulmart, foumart, Mustela putorius",6.454613e-05,1.48848585e-05
359,"black-footed ferret, ferret, Mustela nigripes",6.6219305e-05,6.2663557e-06
360,otter,1.4657969e-05,5.654781e-06
361,"skunk, polecat, wood pussy",1.7369059e-05,6.083072e-06
362,badger,1.0759916e-05,2.0548305e-06
363,armadillo,6.130912e-05,1.8215208e-06
364,"three-toed sloth, ai, Bradypus tridactylus",1.9464895e-05,2.8858833e-06
365,"orangutan, orang, orangutang, Pongo pygmaeus",1.3852194e-05,4.2749016e-06
366,"gorilla, Gorilla gorilla",5.5478464e-05,5.0343682e-05
367,"chimpanzee, chimp, Pan troglodytes",4.2730106e-05,8.271262e-05
368,"gibbon, Hylobates lar",2.9821975e-05,3.9993147e-06
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",9.985738e-06,3.578179e-06
370,"guenon, guenon monkey",1.7669052e-05,2.5053903e-05
371,"patas, hussar monkey, Erythrocebus patas",6.0104547e-05,3.473282e-05
372,baboon,0.0001471042,1.8890103e-05
373,macaque,0.00019043045,0.0002517218
374,langur,7.162005e-05,2.5055599e-05
375,"colobus, colobus monkey",1.3566713e-05,6.0636116e-06
376,"proboscis monkey, Nasalis larvatus",0.00010895335,0.000109207635
377,marmoset,1.5529798e-05,3.3055842e-06
378,"capuchin, ringtail, Cebus capucinus",4.7485435e-05,2.3141878e-05
379,"howler monkey, howler",9.129349e-06,9.395967e-06
380,"titi, titi monkey",2.4375968e-05,1.0698252e-05
381,"spider monkey, Ateles geoffroyi",1.6290383e-05,4.1115465e-05
382,"squirrel monkey, Saimiri sciureus",3.456926e-05,1.6497324e-05
383,"Madagascar cat, ring-tailed lemur, Lemur catta",1.1483698e-05,1.3927379e-06
384,"indri, indris, Indri indri, Indri brevicaudatus",2.8053958e-06,6.839839e-06
385,"Indian elephant, Elephas maximus",4.3354317e-05,1.3652881e-06
386,"African elephant, Loxodonta africana",0.00010681808,2.374088e-07
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",4.2063e-06,4.3666037e-07
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",2.5064099e-05,1.6322892e-05
389,"barracouta, snoek",0.0001270461,5.4889857e-05
390,eel,1.8868057e-05,3.8042108e-06
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.00028693848,0.00013264471
392,"rock beauty, Holocanthus tricolor",4.4988795e-07,1.4604457e-06
393,anemone fish,5.825115e-07,2.440318e-06
394,sturgeon,0.00021345228,3.9086928e-05
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",6.51087e-06,1.0673458e-05
396,lionfish,1.4186363e-06,1.040045e-06
397,"puffer, pufferfish, blowfish, globefish",1.2291456e-05,1.566267e-05
398,abacus,0.00018774506,0.0001694882
399,abaya,0.006786191,0.006485224
400,"academic gown, academic robe, judge's robe",0.0006025089,6.820379e-05
401,"accordion, piano accordion, squeeze box",0.002074966,0.00025681022
402,acoustic guitar,0.00080709957,7.779886e-06
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",3.5297166e-05,2.0871692e-06
404,airliner,3.454721e-05,4.469036e-06
405,"airship, dirigible",0.00012350548,2.7262947e-06
406,altar,2.5784423e-06,2.4544539e-05
407,ambulance,0.00031059745,1.1039556e-05
408,"amphibian, amphibious vehicle",0.00010354452,1.7220264e-05
409,analog clock,0.00030986607,2.1001006e-05
410,"apiary, bee house",1.3672818e-05,2.5015333e-06
411,apron,0.00015104008,0.00012399159
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.0003676308,0.00014653643
413,"assault rifle, assault gun",0.005042545,0.00029355398
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",0.01008068,0.0002561018
415,"bakery, bakeshop, bakehouse",0.0025320179,0.0032064486
416,"balance beam, beam",2.4304241e-05,0.00029297336
417,balloon,0.00023009577,0.00010122176
418,"ballpoint, ballpoint pen, ballpen, Biro",2.9959943e-05,4.5918954e-05
419,Band Aid,0.0025420322,0.013285671
420,banjo,0.0009550101,2.0156544e-05
421,"bannister, banister, balustrade, balusters, handrail",0.0028992365,0.00012505287
422,barbell,4.0492294e-05,5.193597e-05
423,barber chair,0.0004461386,6.8961315e-05
